ID,image_name,time,place,temperature,humidity,sun_light,soil_moist,API_health,API_water,API_water_def,validation,soil_validation
57,2025-07-16T12:14:12_Uni.jpg,2025-07-16T12:14:12,Uni,26.7,47.4,35258.0,9.775,16.7,65.0,51.9,yes,A
58,2025-07-16T12:14:46_Uni.jpg,2025-07-16T12:14:46,Uni,26.4,48.6,35258.0,68.035,36.4,25.4,15.9,yes,B
59,2025-07-16T12:15:42_Uni.jpg,2025-07-16T12:15:42,Uni,26.5,48.2,37332.0,90.029,29.0,54.1,0,yes,B
60,2025-07-16T12:17:13_Uni.jpg,2025-07-16T12:17:13,Uni,26.5,47.4,37332.0,0.0,43.4,43.0,0,yes,A
61,2025-07-16T12:18:00_Uni.jpg,2025-07-16T12:18:00,Uni,26.7,47.5,37332.0,0.0,32.1,44.2,24.1,yes,A
62,2025-07-16T12:18:28_Uni.jpg,2025-07-16T12:18:28,Uni,26.5,47.8,37332.0,0.0,15.1,55.8,21.8,yes,A
63,2025-07-16T12:19:14_Uni.jpg,2025-07-16T12:19:14,Uni,26.4,47.8,37332.0,0.0,22.7,49.4,27.9,yes,A
64,2025-07-16T12:19:40_Uni.jpg,2025-07-16T12:19:40,Uni,26.5,47.6,37332.0,0.0,23.0,65.1,31.7,yes,A
65,2025-07-16T12:20:21_Uni.jpg,2025-07-16T12:20:21,Uni,26.8,46.2,37332.0,0.0,11.6,78.5,37.8,yes,A
66,2025-07-16T12:20:51_Uni.jpg,2025-07-16T12:20:51,Uni,27.1,45.8,37332.0,0.0,10.0,75.4,47.6,yes,A
67,2025-07-16T12:21:38_Uni.jpg,2025-07-16T12:21:38,Uni,27.8,45.0,37332.0,1.564,23.5,30.8,0,yes,A
68,2025-07-16T12:22:07_Uni.jpg,2025-07-16T12:22:07,Uni,28.8,41.9,37332.0,0.0,19.2,29.8,0,yes,A
69,2025-07-16T14:07:31_Uni.jpg,2025-07-16T14:07:31,Uni,27.7,54.1,32330.0,0.0,56.9,10.6,0,yes,A
70,2025-07-16T14:08:14_Uni.jpg,2025-07-16T14:08:14,Uni,27.9,52.7,32330.0,0.0,55.9,14.1,0,yes,A
71,2025-07-16T14:08:53_Uni.jpg,2025-07-16T14:08:53,Uni,28.1,52.7,32330.0,12.02,19.5,11.6,0,yes,A
72,2025-07-16T14:09:22_Uni.jpg,2025-07-16T14:09:22,Uni,27.9,53.2,32330.0,0.0,78.4,6.1,0,yes,A
73,2025-07-16T14:10:05_Uni.jpg,2025-07-16T14:10:05,Uni,27.4,52.7,32330.0,4.11,70.9,20.9,8.3,yes,A
74,2025-07-16T14:10:39_Uni.jpg,2025-07-16T14:10:39,Uni,27.4,53.8,32330.0,0.0,82.4,0,0,yes,A
75,2025-07-16T14:12:34_Uni.jpg,2025-07-16T14:12:34,Uni,26.8,55.6,32330.0,0.0,83.1,6.7,0,yes,A
76,2025-07-16T14:13:04_Uni.jpg,2025-07-16T14:13:04,Uni,27.1,54.8,32330.0,4.89,38.5,22.4,6.3,yes,A
77,2025-07-16T14:13:52_Uni.jpg,2025-07-16T14:13:52,Uni,27.3,55.2,32330.0,0.0,91.4,0,0,yes,A
78,2025-07-16T14:14:18_Uni.jpg,2025-07-16T14:14:18,Uni,27.3,55.3,32330.0,0.0,52.8,5.5,0,yes,A
79,2025-07-16T14:15:16_Uni.jpg,2025-07-16T14:15:16,Uni,27.0,54.3,32330.0,17.6,71.5,7.0,0,yes,A
80,2025-07-16T14:16:02_Uni.jpg,2025-07-16T14:16:02,Uni,26.6,56.2,37942.0,1.96,28.6,6.7,0,yes,A
